StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      104,      00,   189510,   1.87,   60.3,  -1.55,  -1.55,  -1.52,  -1.55,     93,    190,   -.93,  -1.96,  -1.41,  -1.07,    -.6, -99.99, -99.99,   47.2,   73.4,
      106,      00,   189510,   1.96,   58.9,   -.97,   1.11,   -.17,    -.3,     54,    166,   -.42,  -1.52,    -.9,    .22,   -.41, -99.99, -99.99,   44.8,   72.9,
      107,      00,   189510,   1.02,   51.9,   3.27,   3.27,    .08,   2.62,      4,    350,    .01,   -.87,   -.69,    .28,   -.31, -99.99, -99.99,   38.4,   65.4,
      103,      00,   189510,    .91,   48.9,  -2.83,  -2.83,   -2.3,  -2.83,      1,    541,  -1.91,  -1.76,  -1.83,  -1.43,   -2.3, -99.99, -99.99,     35,   62.8,
      102,      00,   189510,    .52,   41.1,  -2.64,  -2.64,  -2.39,  -2.64,      0,    689,   -2.2,  -1.04,  -1.18,  -1.32,  -1.93, -99.99, -99.99,   28.6,   53.6,
      109,      00,   189510,    .44,   56.2,   -.51,   -.51,   -1.4,   -.51,     24,    163,   -.87,   -.49,   -.65,   -.67,   -.67, -99.99, -99.99,   42.6,   69.7,
      101,      00,   189510,    2.3,   42.9,  -3.26,  -3.26,  -1.87,  -3.26,      0,    584,   -.81,  -1.55,  -1.44,  -1.91,  -2.24, -99.99, -99.99,   31.6,   54.2,
      108,      00,   189510,    .11,   47.3,   -1.3,   -1.3,  -3.65,   -1.3,      0,    427,  -2.33,  -1.06,  -1.31,  -1.16,  -1.83, -99.99, -99.99,   33.2,   61.3,
      107,      00,   189511,   1.61,   36.9,   3.88,   3.88,   2.84,   3.88,      0,    633,    1.4,     .8,    .03,    .33,    .05, -99.99, -99.99,   25.4,   48.4,
      108,      00,   189511,   2.37,   33.5,  -2.12,  -2.12,  -2.89,  -2.12,      0,    735,  -1.08,  -1.82,  -1.39,  -1.86,  -1.56, -99.99, -99.99,   24.4,   42.6,
      109,      00,   189511,    1.3,   43.1,   -.74,   -.74,   -.85,   -.74,      0,    417,   -.34,    -.8,   -.62,  -1.19,   -.85, -99.99, -99.99,   31.2,   54.9,
      106,      00,   189511,   2.74,   48.3,    .23,   1.22,    .68,    .11,      8,    418,    .38,   -.14,  -1.04,    .28,    -.2, -99.99, -99.99,   36.1,   60.4,
      105,      00,   189511,    1.3,   26.4,   1.68,   1.68,    1.3,   1.01,      0,   1087,    .86,   -.75,  -1.01,   -.88,  -1.04, -99.99, -99.99,   15.4,   37.4,
      103,      00,   189511,   3.77,   41.7,  -2.71,  -2.71,   -.52,  -2.71,      0,    747,    .54,   -.77,  -1.09,   -.84,  -1.61, -99.99, -99.99,   31.2,   52.2,
      102,      00,   189511,   1.75,   28.9,  -2.86,  -2.86,  -1.49,  -2.86,      0,    980,    .02,  -1.62,   -.91,  -1.37,  -1.74, -99.99, -99.99,   19.6,   38.1,
      101,      00,   189511,   4.42,   37.7,  -2.98,  -2.98,   -.17,  -2.98,      0,    705,    .74,   -.08,   -.83,  -1.23,  -1.65, -99.99, -99.99,   28.3,     47,
      104,      00,   189511,   2.39,   53.9,  -1.95,  -1.95,  -1.68,  -1.95,     42,    318,    -.3,   -.89,  -1.79,  -1.54,   -.44, -99.99, -99.99,   42.8,   64.9,
      107,      00,   189512,    .63,   28.4,   -.14,   3.34,   -.42,   3.11,      0,    815,   -.67,    .54,    .27,    .07,    .08,    .32, -99.99,   16.5,   40.3,
      106,      00,   189512,   2.64,   42.4,    .37,   1.26,     .5,    .34,      3,    599,    .28,    .34,    -.1,   -.06,   -.05,   -.26, -99.99,   30.2,   54.6,
